Step,PSNR,SSIM
0,7.302943078603486,0.01110186501049565
1,18.277198858850728,0.17661231283554993
2,21.225640732641974,0.33730780775761887
3,22.4207856501421,0.39536792183703556
4,23.14477711201568,0.4338064801012632
5,24.02741296589262,0.46069829875861296
6,24.860485289564856,0.485357896377571
7,25.29939749693401,0.5052199451308119
8,25.794250983966016,0.5222913363495681
9,26.564875065213386,0.5504471266155392
10,27.346745559830637,0.5941725528890844
11,28.00715538206019,0.6492959439393104
12,28.728648391887948,0.6997007645304283
13,29.599105004470616,0.7549044804545548
14,30.275796423433867,0.7871669134398569
15,30.84637071748204,0.8035703199199354
16,31.177273834828032,0.812272901988531
17,31.701920876720028,0.8233178233079822
18,32.078794113674476,0.8285974705957622
19,32.52004951536674,0.8353448572683334
20,33.01593723459396,0.8439308595440685
21,33.49610950077634,0.8538783860114254
22,33.89483903607852,0.8599239265501648
23,34.29528548326156,0.8672366712668538
24,34.63731965222607,0.8740069928064942
25,34.93424228393855,0.8802085611972064
26,35.217047320901564,0.8849276523470729
27,35.534258971906254,0.889832821441412
28,35.81743121432554,0.8928465544333458
29,35.83084180564123,0.8870620162432193
