Step,PSNR,SSIM
0,7.2640076865739704,0.009579714391140451
1,18.248357659067413,0.18195438095137573
2,21.15523544400368,0.3416277223014344
3,22.495105413409348,0.4027187317105127
4,23.348944981325346,0.4425035424250284
5,24.367908802410213,0.46754830926694974
6,25.22325504713813,0.4907807099611921
7,25.672693865562145,0.5100623125814873
8,26.051742371677506,0.5244803924486362
9,26.634819188920172,0.546218258671048
10,27.296375163984685,0.5792282411978896
11,27.859402418545468,0.6232267857247094
12,28.444805677087388,0.6679828689501556
13,29.439205966953317,0.7307626791101451
14,30.41938964426575,0.7821358312921859
15,31.297265752565018,0.8264134062840273
16,31.844967612551834,0.8469805153248235
17,32.17160934733333,0.8568441942517832
18,32.51228913745388,0.862459720662076
19,32.9061789608889,0.8674089747215211
20,33.34525384531539,0.8727131770993597
21,33.84443597633392,0.8807562148867846
22,34.298247049145225,0.8863292788077592
23,34.74269915485325,0.8929382113698721
24,35.157568656031295,0.8992264822350741
25,35.582221958186445,0.9056743889555335
26,36.015538604672415,0.9113423546475172
27,36.38151208178711,0.9162273170573711
28,36.64336946765098,0.919302402204752
29,36.76256191921727,0.9163172864325047
