Step,PSNR,SSIM
0,7.2640076865739704,0.009579714391140451
1,18.170030687749023,0.17571561446565406
2,21.122918065750063,0.33485176619364054
3,22.414484674201397,0.391675598293475
4,23.257181303745472,0.4303858788651619
5,24.27699868071427,0.4585699135513148
6,25.117766852165587,0.48539264108030866
7,25.559875088650447,0.5079824825499631
8,25.958447460169527,0.526561535574091
9,26.587733982328487,0.5547691476264093
10,27.30238520739166,0.5966087349198311
11,27.87565853953894,0.6490545831010337
12,28.388385954202025,0.697919277014553
13,29.24567151304086,0.7540034974098834
14,30.141188451463215,0.7877214047258687
15,31.081869987085998,0.8107947060640305
16,31.616753110220873,0.8221131033227346
17,31.941646465015555,0.8278573278334737
18,32.194318054035534,0.8296863338372884
19,32.578895966105264,0.8358984414316192
20,33.034803643768115,0.8424477567560673
21,33.49878057369096,0.8514769035426378
22,33.88089287508607,0.8567359502665997
23,34.26135892336838,0.8631470989353657
24,34.628689886867065,0.8692577947157621
25,34.989999997108434,0.8753980994155407
26,35.34335679475493,0.8806536265741587
27,35.67197950442184,0.8859684978117943
28,35.86616773659809,0.8886981575882434
29,35.846252190653665,0.8825855418975354
