Step,PSNR,SSIM
0,17.11944750688723,0.13049662651056365
1,18.329394367341038,0.18072712098799779
2,19.311501970636662,0.21817837673267831
3,19.954457907165395,0.23165076495276224
4,20.488903724795236,0.2565753567743505
5,21.145612469612963,0.27514917992360727
6,21.89350489094879,0.3168943726177742
7,22.395217920892524,0.33448922908316636
8,22.78444106427581,0.34171462381432116
9,23.20624279223765,0.3626548269690815
10,23.519248288387267,0.38462367751141535
11,24.090498982964274,0.4049638402806136
12,24.615409565556646,0.42464260965072365
13,25.084377325925267,0.43953089052321925
14,25.60292336980072,0.4554115775884031
15,26.126171241191976,0.47389120877747515
16,26.376807634441988,0.49257903406947806
17,26.74492353782247,0.5032075390829405
18,27.096641056167634,0.518481762788801
19,27.50910732378729,0.5382366534597631
20,27.969256150225853,0.5686312897330895
21,28.329525797120073,0.5926517376199048
22,28.49023554274879,0.603946382411968
23,28.546444817812116,0.6172153903429918
24,28.363756013420982,0.6270320614989607
25,28.00661375360876,0.6332591830613024
26,27.65160023510353,0.6429860518272866
27,27.467915225726387,0.6515416703711878
28,27.33217336377011,0.6592595673308638
29,27.376068609342866,0.6662627666694206
30,27.56368355462586,0.6699344381236472
31,27.714125103925298,0.6717770412351419
32,27.83487898472872,0.6754976898352926
33,28.235145757730102,0.6780495841736626
34,28.36564501373317,0.6832760831512236
35,28.58211578276842,0.6890608283286882
36,28.868246435260573,0.6956457321278718
37,29.05310009802918,0.7010188641571642
38,29.13775230405639,0.7046122335456307
39,29.204293195318463,0.707804769535957
40,29.254528292028166,0.7103089058629545
41,29.324330801088387,0.7128303722558921
42,29.37934375230863,0.7138016112470575
43,29.431685159209266,0.7149538667661703
44,29.52223723493024,0.7150525920105739
45,29.597757389318375,0.7160276239912847
46,29.7763567997131,0.7218372874443345
47,30.125048384898037,0.7400506571393248
48,30.717874217322386,0.7940392077234815
49,31.624999483614822,0.8483238896092754
