Step,PSNR,SSIM
0,7.245913686071251,0.008383477998687808
1,18.439864066439398,0.20466487652793922
2,20.875092402075563,0.32360657205541693
3,21.798395547850234,0.36818255116024834
4,22.579588958449726,0.40720662244347194
5,23.90682035278982,0.43430430202329695
6,25.24746324069554,0.4621564095281982
7,25.761308427213926,0.4797825437446478
8,26.028686719848725,0.48915652485946864
9,26.56811121012927,0.5051583227723088
10,27.229602025634616,0.5308321286275957
11,27.82839507793476,0.5617194174988819
12,28.353410232884784,0.5984187901896845
13,28.908355959853793,0.6639486968825236
14,29.569542132474155,0.7282168013324104
15,30.325471469233115,0.791703978690051
16,30.746671166685225,0.8231145108743544
17,31.12053755634665,0.8419740877470928
18,31.290613434719692,0.8480080613560751
19,31.54088386589968,0.8520106795992363
20,31.956307692956717,0.8583163153585149
21,32.472564196312845,0.8662894057922629
22,33.018927067151836,0.8730206917571541
23,33.558746554455496,0.8808513585015834
24,34.05341525736745,0.888404260489501
25,34.602560892395466,0.8965717196103735
26,35.13526945995087,0.9038188907717943
27,35.614546294175774,0.9105865142058879
28,36.0145692569544,0.9155399512712434
29,36.20979652823323,0.914414759315528
