Step,PSNR,SSIM
0,10.049340485060622,0.009070286286814992
1,13.151964634026303,0.020796647912627326
2,16.36575572615079,0.06413541994489695
3,12.427519846637452,0.023048596544564492
4,15.90524144382136,0.050187387624248146
5,18.540639763114093,0.15715590416769343
6,14.987472062449871,0.04772738400581824
7,18.186203051864712,0.13221562421529656
8,19.800543130786807,0.2535352511886984
9,16.590915374841057,0.08431613083635144
10,19.61390370996162,0.22467585706182505
11,20.56561296696032,0.3045214817458916
12,17.944407771032967,0.13976925018312283
13,20.455936534040706,0.28944978743686295
14,17.43084409626131,0.13646286431378843
15,20.194377006912838,0.27337327448030213
16,21.321670573796993,0.344970244330458
17,19.09021043668518,0.2056946234404593
18,21.116199306989287,0.34552252583728554
19,21.68946704962361,0.37038122667603673
20,20.026679258069713,0.2705847412520797
21,21.657823436810055,0.38542429127244404
22,20.26470486197401,0.2781945755925302
23,21.98215761442974,0.39712335531072995
24,22.52579978316643,0.4211019376042634
25,21.392015521256063,0.33755824651185434
26,22.73863426010682,0.4398617250666066
27,21.4094042975807,0.32197740682065046
28,23.089562016078894,0.4477411643385849
29,23.637565169059293,0.48350239305004844
30,22.908675583333718,0.40887608644521267
31,24.064444233533074,0.5003147392257712
32,23.04654398162125,0.38695415726852345
33,24.441176545615658,0.5043457545194473
34,24.975793249118983,0.552704941457707
35,24.51037642392006,0.4756674981190381
36,25.237455717763435,0.5596175562854002
37,24.499086768632683,0.4620847934435958
38,25.315081156069724,0.5675685811658248
39,24.45397119048426,0.4543788997046864
40,25.305909825499878,0.5697964186359159
41,25.444799549379784,0.5932633253364926
42,25.07290658282013,0.5178568625946522
43,25.344006061322347,0.592940111797073
44,24.91645490459954,0.4972391317456937
45,25.292743552585403,0.5862380333148186
46,24.89686201443833,0.5059343085648967
47,25.258384723966625,0.5875594338419496
48,25.060655309128595,0.5499364946207768
49,25.309898625641924,0.6008181565732246
50,24.91956141453565,0.5312757417930625
51,25.28860588510706,0.5977720340832847
52,25.324489206896015,0.6031696934937775
53,25.305485152263532,0.6067911283680641
54,25.046303670825935,0.5839157055180642
55,25.137321574368666,0.60689211994662
56,25.01333529507678,0.5831733376980693
57,25.14976072364828,0.6105719561807327
58,25.01331701316453,0.5975751550329935
59,25.091929385677894,0.613266531659272
60,25.06646188215953,0.5985475048586989
61,25.277619821777716,0.6230374156603318
62,25.31110266438876,0.6195234448152773
63,25.38150034401057,0.6303638232760259
64,25.391833987160474,0.6145325897776682
65,25.539631734809475,0.6366194785559135
66,25.542957259606112,0.6323308203154243
67,25.591749952228113,0.6415508334197317
68,25.61739295972356,0.6235895258641827
69,25.76306473300847,0.6478315558379476
70,25.830861088851748,0.6476110560522861
71,25.951886103953324,0.6570781359905556
72,26.026679201898357,0.655058346645693
73,26.12813531980942,0.6664091142180122
74,26.196106720088693,0.6721144794550786
75,26.32606822771376,0.6755539788680232
76,26.38936805752855,0.6682826015104409
77,26.47809771466584,0.6832871728025447
78,26.497918373575416,0.6804803237885021
79,26.576161807567892,0.69133958526823
80,26.712846321381164,0.6740875296737464
81,26.761820797390964,0.6997269217159373
82,26.80885977169643,0.6906141268908788
83,26.87469392609566,0.7062081547536652
84,26.920158791832502,0.6949619676148708
85,26.94780689794731,0.7099876810982833
86,27.015245069404585,0.6965871531323415
87,27.028689556510518,0.7139338737203959
88,27.095554778566225,0.6994531950190878
89,27.14116286793894,0.7157271263316249
90,27.166205532280493,0.6981038539501891
91,27.227178874525457,0.722985086431633
92,27.26389294448572,0.7049500199693934
93,27.349780926217267,0.7255894801787317
94,27.355569626246957,0.7074384740518158
95,27.427048061809227,0.7238909358802232
96,27.395056012455008,0.7095772672740975
97,27.439616461109182,0.7259320789955713
98,27.420943052867983,0.7081641145351756
99,27.42859803893637,0.7265851218361736
100,27.423989930295733,0.7080201946381426
101,27.43781523394422,0.7257297543783805
102,27.432237501181223,0.7084296199457676
103,27.442329188118745,0.7287157049342897
104,27.44688548252098,0.709414807409632
105,27.475079656304665,0.7321246718953757
106,27.503446216274675,0.7186776199102914
107,27.541299989975435,0.7346252791288704
108,27.589631050505567,0.7233923051526226
109,27.64028933903362,0.7387186457847386
110,27.688115362683497,0.7257671956654429
111,27.757302859819916,0.742954881119116
112,27.81217241378535,0.7318932421894169
113,27.89755851095061,0.7446434511276209
114,27.942786216376355,0.7399134935876238
115,28.102546193548758,0.7523232144726345
116,28.2879644710791,0.7536579771261632
117,28.60480346864299,0.776261054639299
118,28.880488535912924,0.7883711864603838
119,28.938199967534814,0.7991946861538801
120,28.97773567916902,0.794407952416217
121,29.010451246214597,0.8028497058202501
122,29.040596228979364,0.7961168084732886
123,29.064458559369967,0.8055800252755646
124,29.103754518504736,0.8009814802734324
125,29.129462480522452,0.8075044650539057
126,29.16948693492187,0.8026118498845818
127,29.18983693099345,0.8099124224378522
128,29.22722549308653,0.8054109646166414
129,29.24884445883351,0.8116946376352061
130,29.29014488124645,0.8087182508490295
131,29.31671222398741,0.8135308694043909
132,29.351836528116774,0.8114668444015659
133,29.386820509092107,0.8164214247511553
134,29.418243250389573,0.8143912239542603
135,29.448903905280766,0.8187839791007955
136,29.482189993265674,0.8161160784393406
137,29.50318550191994,0.8194562807408038
138,29.52129964971814,0.8182684975768918
139,29.551061826404666,0.8217211420885872
140,29.5723172921681,0.8194139632321665
141,29.600181939836155,0.8237594803843782
142,29.632511661402717,0.8190562277822103
143,29.64391733655807,0.824931324259928
144,29.67076049845947,0.8233349403551601
145,29.703435981487736,0.8267916533758286
146,29.7159537274746,0.8249741432703811
