Step,PSNR,SSIM
0,7.245913686071251,0.008383477998687808
1,18.21955104664215,0.18885673151013474
2,20.848320529502388,0.3212591326430121
3,21.773895487764502,0.36587958428064404
4,22.5505012037361,0.4050967426942072
5,23.869014349233527,0.43345263972914566
6,25.207203264570484,0.4624304317754694
7,25.70637234878088,0.4811005575335762
8,25.975484546919695,0.49199291125329436
9,26.52175559431481,0.5110413593482712
10,27.1901856605913,0.5414492418373639
11,27.816678577709872,0.5795985875496441
12,28.35073274399302,0.6211655493538129
13,28.95122880240629,0.6904659330493474
14,29.516894459056058,0.7613258119706954
15,30.256240077717315,0.8111645407105569
16,30.72190871556114,0.8297175939033107
17,31.017363689718653,0.836980934780946
18,31.17023325343098,0.8380358010812281
19,31.426513969306544,0.8408057675445303
20,31.84741197926568,0.8460074971854156
21,32.35515227987343,0.8536361595284063
22,32.85392942046799,0.8591663669367349
23,33.3674458514789,0.8667062938788012
24,33.83788416038176,0.8741793064872995
25,34.33817814530679,0.8824582303794026
26,34.84369514863224,0.8899364236234576
27,35.277704800050515,0.8965285938355178
28,35.653412677262004,0.9014936186231598
29,35.78780584793803,0.8987727449077964
